ft_cosine_claim_reviewed,ft_cosine_claim_summary,ft_cosine_claim_meta_desc,ft_token_overlap,ft_shared_named_entities,ft_has_negation,ft_has_negation_reviewed,ft_keyword_overlap_kb,ft_keyword_overlap_meta,ft_domain_match,ft_lang_match,ft_has_image,ft_has_video,ft_text_len_summary,ft_text_len_meta,ft_title_match_ratio,ft_contr_nli_claim_reviewed,ft_contr_nli_claim_summary,ft_contr_nli_claim_meta_desc,similarity
0.824557363986969,0.8559760451316833,0.8595972657203674,0.1818180991735913,1,0,0,0,0,1,1,0,0,89,21,0.5111111111111111,0.9998287,6.248927e-05,0.0066395234,0
0.9918966889381409,0.8876238465309143,0.8297191262245178,0.8181810743808415,1,0,0,0,0,1,1,1,0,90,21,0.5918367346938775,0.0014560166,0.00029590816,0.0037959218,1
0.9322054386138916,0.8920178413391113,0.9060966372489929,0.39999973333351113,2,0,0,2,0,1,1,0,0,105,25,0.7021276595744681,0.9998578,0.0002543489,0.99726534,1
0.8732643127441406,0.8893188834190369,0.8944731950759888,0.12499992187504883,1,0,0,0,0,1,1,1,1,99,44,0.6486486486486487,0.8033594,0.0031696942,0.9997389,1
0.8374231457710266,0.8261556029319763,0.8455547094345093,0.17857136479594116,1,0,0,1,0,1,1,1,0,92,21,0.5614035087719298,0.9997168,0.008566084,0.98941994,0
0.8696904182434082,0.8226863741874695,0.7878110408782959,0.21428556122459913,0,0,0,0,0,1,1,1,0,101,20,0.49122807017543857,0.59046394,0.6028123,0.000107288484,0
0.8360067009925842,0.8278211355209351,0.8410969376564026,0.1818180991735913,1,0,0,1,0,1,1,0,0,89,21,0.5217391304347826,0.9998491,0.00020139966,0.010232561,0
0.8684074878692627,0.8060988187789917,0.0,0.35714260204099857,1,0,0,1,0,1,1,1,0,72,1,0.6226415094339622,0.0058933543,0.0015320119,0.0820997,0
0.8622106909751892,0.8146453499794006,0.7837490439414978,0.31249980468762206,1,0,0,0,0,1,1,0,0,72,21,0.5945945945945945,0.9948323,0.011107436,0.094601706,0
0.8374994993209839,0.8272150158882141,0.0,0.19999990000005,0,0,0,0,0,1,1,1,0,84,1,0.4835164835164834,0.9961326,0.00047940205,0.0820997,0
0.9345218539237976,0.8557474613189697,0.7852140069007874,0.5833328472226273,1,0,0,0,0,1,1,1,0,101,20,0.6666666666666667,0.00018081487,0.014442061,0.00026161966,1
0.8812769055366516,0.8633784055709839,0.8790119290351868,0.29629618655696793,2,0,0,1,0,1,1,1,0,92,21,0.7244094488188977,0.94806445,0.015272307,0.05355097,1
